Time (CAT);Open;High;Low;Close;Volume 
2009-12-31 00:00:00;92,425;93,155;91,925;93,03;178390,47
2010-01-01 00:00:00;92,995;93,066;92,985;93,005;389506,5
2010-01-04 00:00:00;92,983;93,22;92,195;92,52;524207,73
2010-01-05 00:00:00;92,52;92,56;91,26;91,715;599905,92
2010-01-06 00:00:00;91,715;92,75;91,53;92,33;556890,9
2010-01-07 00:00:00;92,335;93,41;92,11;93,375;588867,33
2010-01-08 00:00:00;93,39;93,8;92,29;92,67;606917,61
2010-01-11 00:00:00;92,605;92,67;91,82;92,095;538668,65
2010-01-12 00:00:00;92,1;92,435;90,725;90,995;712796,64
2010-01-13 00:00:00;90,995;91,565;90,91;91,385;640448,88
2010-01-14 00:00:00;91,385;92,055;90,845;91,215;650180
2010-01-15 00:00:00;91,225;91,33;90,605;90,79;656669,36
2010-01-18 00:00:00;90,79;91,065;90,63;90,8;341961,86
2010-01-19 00:00:00;90,8;91,27;90,32;91,165;579345,59
2010-01-20 00:00:00;91,17;91,465;90,795;91,24;625735,37
2010-01-21 00:00:00;91,25;91,88;90,12;90,445;636811,98
2010-01-22 00:00:00;90,445;90,57;89,795;89,84;727458,38
2010-01-25 00:00:00;90,295;90,345;89,825;90,29;467649,85
2010-01-26 00:00:00;90,29;90,56;89,35;89,665;773670,84
2010-01-27 00:00:00;89,68;90,095;89,145;90,015;713340,4
2010-01-28 00:00:00;90,015;90,56;89,635;89,935;638968,56
2010-01-29 00:00:00;89,935;90,935;89,59;90,28;466044,78
2010-02-01 00:00:00;89,9;90,95;89,89;90,62;358510,4
2010-02-02 00:00:00;90,615;90,92;90,27;90,39;487992,95
2010-02-03 00:00:00;90,39;91,28;90,08;90,99;514228,37
2010-02-04 00:00:00;91;91,085;88,56;89,065;387629,3
2010-02-05 00:00:00;89,065;89,895;88,83;89,285;418536,7
2010-02-08 00:00:00;89,54;89,57;89,15;89,255;388640,73
2010-02-09 00:00:00;89,26;89,81;89,17;89,705;440095,34
2010-02-10 00:00:00;89,71;90,075;89,25;89,955;412455,98
2010-02-11 00:00:00;89,96;90,145;89,575;89,775;379737,77
2010-02-12 00:00:00;89,775;90,425;89,595;89,985;361470,1
2010-02-15 00:00:00;90,145;90,24;89,92;90,025;229769,6
2010-02-16 00:00:00;90,025;90,52;89,72;90,145;379633,1
2010-02-17 00:00:00;90,155;91,39;90,138;91,27;452302,7
2010-02-18 00:00:00;91,265;91,835;90,575;91,825;469194,95
2010-02-19 00:00:00;91,825;92,16;91,505;91,53;441624,3
2010-02-22 00:00:00;91,465;91,91;91,03;91,16;438248,02
2010-02-23 00:00:00;91,165;91,3;89,93;90,23;401961,36
2010-02-24 00:00:00;90,235;90,365;89,775;90,16;352705,21
2010-02-25 00:00:00;90,16;90,33;88,81;89,09;429908,3
2010-02-26 00:00:00;89,09;89,51;88,75;89,005;273836,61
2010-03-01 00:00:00;88,89;89,485;88,82;89,135;316515,53
2010-03-02 00:00:00;89,14;89,385;88,56;88,855;322912,65
2010-03-03 00:00:00;88,855;89,005;88,33;88,465;323010,33
2010-03-04 00:00:00;88,48;89,265;88,145;89,025;272541,53
2010-03-05 00:00:00;89,03;90,595;88,99;90,3;257582,46
2010-03-08 00:00:00;90,475;90,685;90,16;90,32;447653,09
2010-03-09 00:00:00;90,325;90,345;89,635;89,975;534078,55
2010-03-10 00:00:00;89,975;90,825;89,855;90,53;449839,66
2010-03-11 00:00:00;90,53;90,72;90,21;90,515;412827,89
2010-03-12 00:00:00;90,52;91,09;90,175;90,585;458731,74
2010-03-14 23:00:00;90,833;90,833;90,36;90,54;410833,55
2010-03-15 23:00:00;90,54;90,74;89,99;90,315;494213,4
2010-03-16 23:00:00;90,32;90,72;90,04;90,315;499401,37
2010-03-17 23:00:00;90,325;90,805;89,765;90,39;464150,16
2010-03-18 23:00:00;90,39;90,72;90,34;90,555;378992,61
2010-03-21 23:00:00;90,501;90,775;89,84;90,145;387614,5
2010-03-22 23:00:00;90,15;90,485;90,068;90,405;401761,64
2010-03-23 23:00:00;90,41;92,41;90,355;92,32;504566,75
2010-03-24 23:00:00;92,32;92,96;91,77;92,74;470897,97
2010-03-25 23:00:00;92,745;92,9;92,31;92,54;416866,37
2010-03-28 23:00:00;92,46;92,79;92,355;92,47;487235,54
2010-03-29 23:00:00;92,48;93,025;92,13;92,775;540834,53
2010-03-30 23:00:00;92,775;93,64;92,765;93,48;613214,62
2010-03-31 23:00:00;93,48;94,05;93,285;93,84;519927,32
2010-04-01 23:00:00;93,84;94,7;93,615;94,635;239120,37
2010-04-04 23:00:00;94,705;94,79;94,09;94,375;277594,02
2010-04-05 23:00:00;94,375;94,39;93,67;93,8;523261,63
2010-04-06 23:00:00;93,805;94,27;93,15;93,37;549012,59
2010-04-07 23:00:00;93,375;93,49;92,84;93,39;394195,22
2010-04-08 23:00:00;93,39;93,785;93,115;93,175;343498,88
2010-04-11 23:00:00;92,995;93,61;92,915;93,25;397629,42
2010-04-12 23:00:00;93,26;93,42;92,58;93,21;433960,9
2010-04-13 23:00:00;93,215;93,73;92,83;93,24;432016,15
2010-04-14 23:00:00;93,24;93,53;92,875;93,04;402960,86
2010-04-15 23:00:00;93,045;93,145;91,91;92,195;424860,97
2010-04-18 23:00:00;91,895;92,475;91,605;92,405;412530,87
2010-04-19 23:00:00;92,41;93,4;92,4;93,23;357400,33
2010-04-20 23:00:00;93,235;93,455;92,94;93,195;429384,79
2010-04-21 23:00:00;93,19;93,62;92,75;93,495;477364,76
2010-04-22 23:00:00;93,495;94,345;93,315;93,995;444921,95
2010-04-25 23:00:00;94,007;94,36;93,93;93,97;440233,85
2010-04-26 23:00:00;93,97;94,05;92,825;93,275;599235,1
2010-04-27 23:00:00;93,28;94,33;93;94,04;551238,83
2010-04-28 23:00:00;94,04;94,27;93,86;94,045;343085,23
2010-04-29 23:00:00;94,04;94,59;93,85;93,885;294823,95
2010-05-02 23:00:00;93,9;94,795;93,85;94,55;338795,26
2010-05-03 23:00:00;94,55;94,985;94,33;94,545;535685,93
2010-05-04 23:00:00;94,545;94,995;93,545;93,815;637711,11
2010-05-05 23:00:00;93,82;93,985;88,14;90,575;608481,4
2010-05-06 23:00:00;90,585;93,27;90,025;91,64;523525,06
2010-05-09 23:00:00;92,43;93,555;91,722;93,3;621916,32
2010-05-10 23:00:00;93,3;93,4;92,22;92,66;566973,17
2010-05-11 23:00:00;92,66;93,29;92,455;93,26;576860,1
2010-05-12 23:00:00;93,265;93,645;92,59;92,76;520169,1
2010-05-13 23:00:00;92,765;93,1;91,81;92,53;557749
2010-05-16 23:00:00;92,26;92,695;91,77;92,6;428012
2010-05-17 23:00:00;92,605;92,97;92,115;92,24;583795,55
2010-05-18 23:00:00;92,25;92,27;90,96;91,725;644357,72
2010-05-19 23:00:00;91,715;91,88;88,98;89,7;514783,86
2010-05-20 23:00:00;89,7;90,485;89,06;90,015;457693,94
2010-05-23 23:00:00;90,305;90,625;89,755;90,3;549761,68
2010-05-24 23:00:00;90,31;90,315;89,265;90,235;711704,93
2010-05-25 23:00:00;90,25;90,68;89,83;89,925;581631,83
2010-05-26 23:00:00;89,94;91,09;89,82;91,05;601693,81
2010-05-27 23:00:00;91,05;91,415;90,615;91,08;517234,07
2010-05-30 23:00:00;91,017;91,62;90,935;91,28;252845,91
2010-05-31 23:00:00;91,28;91,47;90,545;90,96;460219,86
2010-06-01 23:00:00;90,955;92,36;90,91;92,145;546004,66
2010-06-02 23:00:00;92,145;92,81;92,045;92,72;465171,78
2010-06-03 23:00:00;92,725;92,895;91,425;91,93;417288,27
2010-06-06 23:00:00;91,755;92,085;90,99;91,38;596698,3
2010-06-07 23:00:00;91,385;91,93;90,845;91,465;566008,2
2010-06-08 23:00:00;91,465;91,68;91,06;91,305;473527,5
2010-06-09 23:00:00;91,29;91,475;90,86;91,34;403735,66
