Time (CAT);Open;High;Low;Close;Volume 
2009-12-28 00:00:00;91,51;93,155;91,387;93;1197358,3
2010-01-04 00:00:00;92,983;93,8;91,26;92,695;3012131,8
2010-01-11 00:00:00;92,605;92,67;90,605;90,79;3304826,8
2010-01-18 00:00:00;90,79;91,88;89,795;89,845;2998072,1
2010-01-25 00:00:00;90,295;90,935;89,145;90,28;3144147,1
2010-02-01 00:00:00;89,9;91,28;88,56;89,28;2121201,1
2010-02-08 00:00:00;89,54;90,425;89,15;89,985;1980078,6
2010-02-15 00:00:00;90,145;92,16;89,72;91,535;1964957,15
2010-02-22 00:00:00;91,465;91,91;88,75;89;1891229,7
2010-03-01 00:00:00;88,89;90,595;88,145;90,285;1487984,7
2010-03-08 00:00:00;90,475;91,09;89,635;90,585;2297481,7
2010-03-14 23:00:00;90,833;90,833;89,765;90,55;2242834,95
2010-03-21 23:00:00;90,501;92,96;89,84;92,52;2179714,3
2010-03-28 23:00:00;92,46;94,7;92,13;94,61;2387597,2
2010-04-04 23:00:00;94,705;94,79;92,84;93,19;2075478,6
2010-04-11 23:00:00;92,995;93,73;91,91;92,16;2086382,7
2010-04-18 23:00:00;91,895;94,345;91,605;93,97;2120235,1
2010-04-25 23:00:00;94,007;94,59;92,825;93,82;2227836,9
2010-05-02 23:00:00;93,9;94,995;88,02;91,58;2642970,84
2010-05-09 23:00:00;92,43;93,645;91,722;92,52;2842875,11
2010-05-16 23:00:00;92,26;92,97;88,98;90;2633425,1
2010-05-23 23:00:00;90,305;91,415;89,265;91,06;2963410,92
2010-05-30 23:00:00;91,017;92,895;90,545;91,88;2126125,7
2010-06-06 23:00:00;91,755;92,085;90,845;91,65;2384963
2010-06-13 23:00:00;91,878;92,12;90,45;90,68;1866163,3
2010-06-20 23:00:00;90,3;91,48;89,09;89,25;1733540,68
2010-06-27 23:00:00;89,285;89,47;86,98;87,75;1878497,1
2010-07-04 23:00:00;87,725;88,71;87,03;88,56;1778860,6
2010-07-11 23:00:00;88,765;89,155;86,27;86,55;2220914,8
2010-07-18 23:00:00;86,523;87,575;86,345;87,41;1911588,4
2010-07-25 23:00:00;87,462;88,125;85,955;86,46;2125701
2010-08-01 23:00:00;86,326;86,89;85,03;85,52;1857155,6
2010-08-08 23:00:00;85,425;86,38;84,74;86,18;2261380
2010-08-15 23:00:00;86,185;86,26;84,9;85,56;1811547,1
2010-08-22 23:00:00;85,564;85,705;83,595;85,21;1984169,8
2010-08-29 23:00:00;85,352;85,91;83,68;84,34;1747591,2
2010-09-05 23:00:00;84,18;84,495;83,35;84,16;1853346,8
2010-09-12 23:00:00;84,224;85,94;82,88;85,82;1996628,4
2010-09-19 23:00:00;85,735;85,81;84,12;84,2;1612380,4
2010-09-26 23:00:00;84,26;84,405;83,165;83,3;1770850
2010-10-03 23:00:00;83,27;83,99;81,735;81,9;1548430,5
2010-10-10 23:00:00;81,965;82,36;80,885;81,43;1351819,2
2010-10-17 23:00:00;81,373;81,925;80,85;81,36;1431309,6
2010-10-24 23:00:00;81,324;81,989;80,3;80,32;628468,9
2010-10-31 23:00:00;80,293;81,591;80,253;81,26;530106,8
2010-11-08 00:00:00;81,25;82,807;80,538;82,541;514201,4
2010-11-15 00:00:00;82,48;83,789;82,401;83,569;259460,3
2010-11-22 00:00:00;83,516;84,19;82,792;84,167;200695,9
2010-11-29 00:00:00;84,064;84,411;82,533;82,542;414217,9
2010-12-06 00:00:00;82,676;84,31;82,35;83,954;431721,2
2010-12-13 00:00:00;84,007;84,518;82,842;84,042;459775,3
2010-12-20 00:00:00;83,986;84,132;82,83;82,905;338188,8028
2010-12-27 00:00:00;82,801;82,985;80,953;81,155;330024,345
2011-01-03 00:00:00;81,244;83,726;80,952;83,19;444371,99
2011-01-10 00:00:00;83,263;83,498;82,416;82,913;470725,23
2011-01-17 00:00:00;82,827;83,131;81,861;82,576;533717,49
2011-01-24 00:00:00;82,554;83,22;81,97;82,137;600546,15
2011-01-31 00:00:00;82,045;82,477;81,126;82,192;671569,93
2011-02-07 00:00:00;82,209;83,68;81,781;83,443;602619,6
2011-02-14 00:00:00;83,518;83,979;83,041;83,191;544631,43
2011-02-21 00:00:00;83,11;83,557;81,631;81,69;667247,09
2011-02-28 00:00:00;81,702;83,089;81,572;82,377;559525,95
2011-03-07 00:00:00;82,36;83,303;81,661;81,907;731928,81
2011-03-13 23:00:00;81,65;82,464;76,375;80,59;1168848,04
2011-03-20 23:00:00;80,879;81,499;80,712;81,37;627498,86
2011-03-27 23:00:00;81,444;84,736;81,324;84,06;702546,61
2011-04-03 23:00:00;84,243;85,544;83,863;84,76;650038,75
2011-04-10 23:00:00;84,906;85,168;82,962;83,14;700925,57
2011-04-17 23:00:00;83,227;83,269;81,627;81,82;728615,29
2011-04-24 23:00:00;81,819;82,819;81,052;81,21;707790,03
2011-05-01 23:00:00;81,101;81,701;79,576;80,63;768189,53
2011-05-08 23:00:00;80,631;81,346;80,166;80,78;955098,99
2011-05-15 23:00:00;80,865;82,238;80,641;81,7;676769,99
2011-05-22 23:00:00;81,835;82,219;80,71;80,8;662112,36
2011-05-29 23:00:00;80,788;81,779;80,059;80,25;571107,67
2011-06-05 23:00:00;80,273;80,469;79,703;80,3;634875,03
2011-06-12 23:00:00;80,328;81,067;79,98;80,06;691228,31
2011-06-19 23:00:00;80,173;80,802;80,021;80,45;535247,04
2011-06-26 23:00:00;80,335;81,274;80,272;80,8;593213,58
2011-07-03 23:00:00;80,845;81,5;80,509;80,65;438754,31
2011-07-10 23:00:00;80,587;80,836;78,473;79,15;588642,38
2011-07-17 23:00:00;79,137;79,325;78,236;78,55;464655,6
2011-07-24 23:00:00;78,278;78,717;76,71;76,77;521782,33
2011-07-31 23:00:00;77,199;80,243;76,303;78,41;827698,97
2011-08-07 23:00:00;77,982;78,476;76,314;76,66;789778,24
2011-08-14 23:00:00;76,887;77,1;75,96;76,48;493943,84
2011-08-21 23:00:00;76,785;77,704;76,478;76,64;468306,78
2011-08-28 23:00:00;76,768;77,25;76,431;76,8;399467,34
2011-09-04 23:00:00;76,929;77,863;76,699;77,59;458163,55
2011-09-11 23:00:00;77,475;77,592;76,567;76,77;490552,71
2011-09-18 23:00:00;76,971;76,989;76,113;76,694;408219,19
2011-09-25 23:00:00;76,486;77,205;76,228;77,081;476704,18
2011-10-02 23:00:00;77,105;77,271;76,52;76,775;387783,55
2011-10-09 23:00:00;76,814;77,492;76,322;77,243;382346,43
2011-10-16 23:00:00;77,122;77,459;75,808;76,314;387391,42
2011-10-23 23:00:00;76,224;76,491;75,669;75,893;373511,29
2011-10-30 23:00:00;75,652;79,538;75,584;78,25;512743,76
2011-11-07 00:00:00;78,196;78,202;77,058;77,265;361613,43
2011-11-14 00:00:00;77,273;77,523;76,581;76,948;405557,2
2011-11-21 00:00:00;76,902;77,796;76,77;77,74;337577,9
2011-11-28 00:00:00;77,585;78,29;77,304;78,034;363962,65
2011-12-05 00:00:00;78,058;78,121;77,136;77,713;352149,39
2011-12-12 00:00:00;77,691;78,161;77,57;77,771;367366,48
2011-12-19 00:00:00;77,763;78,229;77,691;78,114;322122,04
2011-12-26 00:00:00;78,123;78,154;76,891;76,954;305424,44
2012-01-02 00:00:00;76,94;77,34;76,614;76,971;347717,24
2012-01-09 00:00:00;76,927;77,045;76,668;76,976;360349,32
2012-01-16 00:00:00;77,06;77,325;76,554;77,051;378540,44
2012-01-23 00:00:00;76,964;78,287;76,659;76,689;414386,17
2012-01-30 00:00:00;76,652;76,782;76,029;76,621;451963,53
2012-02-06 00:00:00;76,644;77,81;76,5;77,628;404687,59
2012-02-13 00:00:00;77,569;79,622;77,373;79,562;435408,71
2012-02-20 00:00:00;79,604;81,225;79,366;81,208;406543,69
2012-02-27 00:00:00;81,281;81,876;80,02;81,819;545824,76
2012-03-05 00:00:00;81,782;82,646;80,591;82,42;500844,41
2012-03-11 23:00:00;82,521;84,185;81,974;83,43;476396,03
2012-03-18 23:00:00;83,384;84,098;81,979;82,33;522115,88
2012-03-25 23:00:00;82,419;83,39;81,837;82,84;546975,54
2012-04-01 23:00:00;83,037;83,307;81,316;81,62;499165,88
2012-04-08 23:00:00;81,498;81,869;80,582;80,91;502155,63
2012-04-15 23:00:00;80,857;81,782;80,301;81,495;489187,33
2012-04-22 23:00:00;81,523;81,698;80,17;80,24;511310,66
2012-04-29 23:00:00;80,276;80,618;79,647;79,83;376283,78
2012-05-06 23:00:00;79,879;80,084;79,433;79,91;475865,32
2012-05-13 23:00:00;80,003;80,557;78,95;79,007;648740,67
2012-05-20 23:00:00;79,133;80,153;79,091;79,671;653261,22
2012-05-27 23:00:00;79,732;79,751;77,667;77,95;672006,17
2012-06-03 23:00:00;78,099;79,798;77,95;79,475;701672,63
2012-06-10 23:00:00;79,636;79,748;78,61;78,69;639753,295
2012-06-17 23:00:00;78,826;80,573;78,799;80,407;538228,77
2012-06-24 23:00:00;80,459;80,626;79,141;79,783;502009,54
2012-07-01 23:00:00;79,869;80,101;79,317;79,649;427640,7
2012-07-08 23:00:00;79,639;79,956;79,079;79,25;397840,91
2012-07-15 23:00:00;79,288;79,302;78,437;78,48;363025,45
2012-07-22 23:00:00;78,486;78,682;77,95;78,45;407067
2012-07-29 23:00:00;78,458;78,778;77,919;78,45;384231,67
2012-08-05 23:00:00;78,622;78,795;78,149;78,266;366966,4
2012-08-12 23:00:00;78,208;79,585;78,17;79,5;348272,62
2012-08-19 23:00:00;79,575;79,664;78,289;78,65;367253,214
2012-08-26 23:00:00;78,724;78,848;78,195;78,371;291820,85
2012-09-02 23:00:00;78,358;79,039;78,024;78,18;333151,84
2012-09-09 23:00:00;78,24;78,404;77,166;78,23;416952,26
2012-09-16 23:00:00;78,362;79,223;78,026;78,11;461928,34
2012-09-23 23:00:00;78,184;78,204;77,44;77,96;313868,9
2012-09-30 23:00:00;77,982;78,877;77,796;78,65;337250,12
2012-10-07 23:00:00;78,69;78,767;77,951;78,39;310979,7
2012-10-14 23:00:00;78,46;79,474;78,335;79,33;404223,51
2012-10-21 23:00:00;79,272;80,385;79,212;79,585;425853,53
2012-10-28 23:00:00;79,59;80,68;79,282;80,44;356156,23
2012-11-05 00:00:00;80,451;80,567;79,081;79,513;433215,86
2012-11-12 00:00:00;79,467;81,465;79,215;81,298;429940,57
2012-11-19 00:00:00;81,398;82,841;81,092;82,409;422543,24
2012-11-26 00:00:00;82,351;82,752;81,693;82,489;439684,36
2012-12-03 00:00:00;82,391;82,834;81,723;82,51;401583,3
2012-12-10 00:00:00;82,53;83,966;82,121;83,51;432768,08
2012-12-17 00:00:00;84,348;84,62;83,617;84,245;547218,06
2012-12-24 00:00:00;84,387;86,645;84,33;85,952;392949,38
2012-12-31 00:00:00;85,83;88,414;85,672;88,157;474924,77
2013-01-07 00:00:00;88,129;89,453;86,836;89,19;710518,15
2013-01-14 00:00:00;89,306;90,211;87,799;90,101;895633,61
2013-01-21 00:00:00;90,098;91,199;88,066;90,904;832927,54
2013-01-28 00:00:00;91,051;92,966;90,334;92,852;780440,99
2013-02-04 00:00:00;92,802;94,069;91,99;92,721;857516,54
2013-02-11 00:00:00;92,701;94,467;92,231;93,52;871126,55
2013-02-18 00:00:00;93,758;94,222;92,779;93,43;731899,45
2013-02-25 00:00:00;94,551;94,578;90,897;93,707;1003957,13
2013-03-04 00:00:00;93,577;96,587;92,922;96,021;747022,48
2013-03-10 23:00:00;95,994;96,715;95,084;95,3;783392,12
2013-03-17 23:00:00;94,373;96,138;94,101;94,517;908171,09
2013-03-24 23:00:00;94,438;94,967;93,537;94,248;774978,88
2013-03-31 23:00:00;94,3;97,837;92,576;97,609;962267,26
2013-04-07 23:00:00;98,24;99,952;98,081;98,407;1039506,54
2013-04-14 23:00:00;98,244;99,689;95,816;99,554;1233315,91
2013-04-21 23:00:00;99,83;99,892;97,561;98,078;1056463,59
2013-04-28 23:00:00;97,96;99,273;97,013;99,034;714082,32
2013-05-05 23:00:00;99,195;101,986;98,586;101,652;750736,14
2013-05-12 23:00:00;101,884;103,312;101,266;103,243;853924,32
2013-05-19 23:00:00;102,767;103,741;100,667;101,37;1060228,06
2013-05-26 23:00:00;101,061;102,531;100,226;100,52;1013293,83
2013-06-02 23:00:00;100,45;100,727;95,001;97,576;1209475,77
2013-06-09 23:00:00;97,857;99,287;93,798;94,201;1248132,27
2013-06-16 23:00:00;94,192;98,292;94,145;97,919;738262,58
2013-06-23 23:00:00;97,943;99,453;96,963;99,158;631551,61
2013-06-30 23:00:00;99,252;101,234;99,181;101,205;476195,2
2013-07-07 23:00:00;101,266;101,536;98,274;99,261;543430,55
2013-07-14 23:00:00;99,386;100,868;98,9;100,65;544409,91
2013-07-21 23:00:00;100,472;100,636;97,963;98,296;607872,16
2013-07-28 23:00:00;98,079;99,954;97,587;99;603594,24
2013-08-04 23:00:00;98,936;99,154;95,81;96,266;581930,61
2013-08-11 23:00:00;96,351;98,66;95,93;97,542;578894,19
2013-08-18 23:00:00;97,593;99,155;96,915;98,764;577920,14
2013-08-25 23:00:00;98,611;98,846;96,823;98,23;508691,72
2013-09-01 23:00:00;98,443;100,23;98,282;99,133;524185,04
2013-09-08 23:00:00;99,732;100,61;99,018;99,391;533376,35
2013-09-15 23:00:00;98,675;99,671;97,768;99,404;487284,12
2013-09-22 23:00:00;99,282;99,364;98,098;98,23;421038,18
2013-09-29 23:00:00;97,682;98,729;96,935;97,49;555166,16
