Time (CAT);Open;High;Low;Close;Volume 
2009-12-31 20:00:00;93,14;93,14;92,875;93,02;29160
2010-01-01 00:00:00;92,979;93,052;92,972;92,983;55417
2010-01-01 04:00:00;92,985;92,998;92,985;92,993;57780,7
2010-01-01 08:00:00;92,993;93;92,977;92,99;86160,2
2010-01-01 12:00:00;92,99;93,002;92,979;92,995;75255,4
2010-01-01 16:00:00;92,995;92,998;92,988;92,993;87852,1
2010-01-01 20:00:00;92,993;93,005;92,988;92,995;54421
2010-01-04 00:00:00;92,967;93,085;92,68;92,975;67138,8
2010-01-04 04:00:00;92,975;92,975;92,715;92,87;52244
2010-01-04 08:00:00;92,87;93,21;92,715;92,8;132662,3
2010-01-04 12:00:00;92,795;92,94;92,61;92,64;121674,1
2010-01-04 16:00:00;92,64;92,725;92,185;92,685;137597,7
2010-01-04 20:00:00;92,685;92,69;92,49;92,495;55492,54
2010-01-05 00:00:00;92,49;92,545;92,105;92,265;53114,2
2010-01-05 04:00:00;92,265;92,305;91,625;91,68;88768,4
2010-01-05 08:00:00;91,68;92,12;91,68;91,875;128648,75
2010-01-05 12:00:00;91,875;92,155;91,685;91,76;113863,86
2010-01-05 16:00:00;91,755;91,84;91,24;91,56;135270,54
2010-01-05 20:00:00;91,555;91,75;91,505;91,69;83554,1
2010-01-06 00:00:00;91,695;91,965;91,52;91,775;61725,5
2010-01-06 04:00:00;91,775;92,13;91,75;92,05;58912,7
2010-01-06 08:00:00;92,055;92,36;91,95;92,335;131117,75
2010-01-06 12:00:00;92,335;92,5;92,045;92,18;117741,8
2010-01-06 16:00:00;92,2;92,74;92,125;92,49;161798,46
2010-01-06 20:00:00;92,49;92,62;92,26;92,31;84644,42
2010-01-07 00:00:00;92,305;92,46;92,195;92,265;44837,86
2010-01-07 04:00:00;92,27;92,335;92,12;92,2;36163,75
2010-01-07 08:00:00;92,195;92,89;92,1;92,87;133237
2010-01-07 12:00:00;92,87;93,4;92,83;93,065;150032,1
2010-01-07 16:00:00;93,065;93,33;92,965;93,155;132106,58
2010-01-07 20:00:00;93,155;93,365;93,07;93,365;64353,7
2010-01-08 00:00:00;93,36;93,765;93,195;93,315;51483,27
2010-01-08 04:00:00;93,315;93,365;93,13;93,31;49494,2
2010-01-08 08:00:00;93,32;93,445;92,835;93,12;101989,94
2010-01-08 12:00:00;93,12;93,47;92,28;92,385;120200,98
2010-01-08 16:00:00;92,37;93,255;92,34;92,595;170118,85
2010-01-08 20:00:00;92,595;92,735;92,46;92,65;72900,9
2010-01-11 00:00:00;92,58;92,615;92,215;92,35;51373,12
2010-01-11 04:00:00;92,35;92,455;92,17;92,22;57160,7
2010-01-11 08:00:00;92,215;92,55;92,185;92,47;110707,8
2010-01-11 12:00:00;92,47;92,56;92,325;92,4;106442,5
2010-01-11 16:00:00;92,4;92,66;91,81;92,05;172070,9
2010-01-11 20:00:00;92,05;92,145;91,875;92,075;68567,5
2010-01-12 00:00:00;92,07;92,285;91,815;91,835;63295,58
2010-01-12 04:00:00;91,835;92,425;91,83;92,22;76546
2010-01-12 08:00:00;92,22;92,29;91,705;91,81;123293,45
2010-01-12 12:00:00;91,81;91,86;91,335;91,345;111782,2
2010-01-12 16:00:00;91,345;91,38;90,72;90,805;144405,82
2010-01-12 20:00:00;90,805;91,025;90,795;90,97;79351,3
2010-01-13 00:00:00;90,965;91,35;90,9;91,02;70573,3
2010-01-13 04:00:00;91,02;91,19;90,925;91,11;60675,1
2010-01-13 08:00:00;91,11;91,485;90,985;91,42;159157,44
2010-01-13 12:00:00;91,42;91,44;91,125;91,235;133974,6
2010-01-13 16:00:00;91,24;91,525;91,185;91,365;166903,5
2010-01-13 20:00:00;91,365;91,56;91,27;91,365;89791,1
2010-01-14 00:00:00;91,36;91,53;91,28;91,4;58050,16
2010-01-14 04:00:00;91,4;91,79;91,35;91,785;84865
2010-01-14 08:00:00;91,785;92,04;91,585;91,875;112183,2
2010-01-14 12:00:00;91,87;91,97;91,125;91,205;97014,79
2010-01-14 16:00:00;91,21;91,39;90,98;91,065;115577,6
2010-01-14 20:00:00;91,065;91,255;90,84;91,2;74392,2
2010-01-15 00:00:00;91,195;91,315;90,915;91,005;71838,3
2010-01-15 04:00:00;91,005;91,225;90,945;91,17;66527,5
2010-01-15 08:00:00;91,165;91,175;90,65;90,78;128682,64
2010-01-15 12:00:00;90,78;91,15;90,6;91,085;142484
2010-01-15 16:00:00;91,085;91,185;90,7;90,795;146110,15
2010-01-15 20:00:00;90,795;90,96;90,74;90,75;79813,8
2010-01-18 00:00:00;90,745;90,995;90,725;90,77;45228,6
2010-01-18 04:00:00;90,775;91,06;90,715;91,04;51572
2010-01-18 08:00:00;91,04;91,05;90,8;90,93;103349,1
2010-01-18 12:00:00;90,93;90,935;90,62;90,71;97899,2
2010-01-18 16:00:00;90,71;90,84;90,639;90,705;41519,9
2010-01-18 20:00:00;90,71;90,785;90,675;90,78;18209,5
2010-01-19 00:00:00;90,775;90,78;90,51;90,605;46506,9
2010-01-19 04:00:00;90,605;90,665;90,345;90,47;50146,2
2010-01-19 08:00:00;90,475;90,65;90,315;90,615;128773,1
2010-01-19 12:00:00;90,615;91,035;90,54;90,9;150288,85
2010-01-19 16:00:00;90,91;91,26;90,835;91,06;176532,52
2010-01-19 20:00:00;91,06;91,17;91,045;91,135;66111,5
2010-01-20 00:00:00;91,13;91,26;91,055;91,165;73367,91
2010-01-20 04:00:00;91,165;91,36;91,07;91,21;61787,3
2010-01-20 08:00:00;91,205;91,265;90,79;90,96;147988,1
2010-01-20 12:00:00;90,96;91,035;90,81;90,95;148995,32
2010-01-20 16:00:00;90,95;91,46;90,9;91,21;150789,1
2010-01-20 20:00:00;91,21;91,28;91,145;91,21;57674,28
2010-01-21 00:00:00;91,22;91,44;91,18;91,33;52479,3
2010-01-21 04:00:00;91,325;91,665;91,295;91,6;63489,68
2010-01-21 08:00:00;91,605;91,75;91,45;91,735;129033
2010-01-21 12:00:00;91,735;91,87;91,555;91,745;132460,4
2010-01-21 16:00:00;91,74;91,83;90,11;90,41;176736,26
2010-01-21 20:00:00;90,41;90,505;90,145;90,42;110420,3
2010-01-22 00:00:00;90,425;90,485;89,805;89,87;69546,9
2010-01-22 04:00:00;89,87;90,07;89,78;89,955;68031
2010-01-22 08:00:00;89,955;90,565;89,915;90,385;147276,54
2010-01-22 12:00:00;90,385;90,42;89,915;90,11;144409
2010-01-22 16:00:00;90,11;90,33;89,95;89,995;155143,6
2010-01-22 20:00:00;89,995;90;89,79;89,81;87659,16
2010-01-25 00:00:00;90,255;90,255;89,81;90,05;41116,25
2010-01-25 04:00:00;90,05;90,27;90,035;90,08;31456,24
2010-01-25 08:00:00;90,085;90,335;89,99;90,24;112981,4
2010-01-25 12:00:00;90,24;90,33;90,115;90,28;119437,6
2010-01-25 16:00:00;90,28;90,31;89,955;90,235;128632,2
2010-01-25 20:00:00;90,23;90,31;90,175;90,27;57069,3
2010-01-26 00:00:00;90,265;90,55;90,18;90,47;50651,32
2010-01-26 04:00:00;90,47;90,485;89,555;89,77;58260,5
2010-01-26 08:00:00;89,765;90,42;89,37;89,55;116846,9
2010-01-26 12:00:00;89,55;89,75;89,405;89,61;136174,7
2010-01-26 16:00:00;89,61;89,77;89,335;89,66;155356,1
2010-01-26 20:00:00;89,655;89,73;89,58;89,635;63235,48
2010-01-27 00:00:00;89,645;89,725;89,37;89,6;56076,4
2010-01-27 04:00:00;89,6;89,625;89,135;89,22;56385,1
2010-01-27 08:00:00;89,22;89,48;89,16;89,38;104277,4
2010-01-27 12:00:00;89,375;89,655;89,34;89,465;94462,64
2010-01-27 16:00:00;89,465;89,47;89,215;89,44;115194,9
2010-01-27 20:00:00;89,45;90,08;89,365;89,995;110215,6
2010-01-28 00:00:00;89,995;90,35;89,865;90,305;63658,3
2010-01-28 04:00:00;90,31;90,39;90,19;90,27;60720
2010-01-28 08:00:00;90,27;90,55;90,145;90,36;105796,7
2010-01-28 12:00:00;90,36;90,45;89,94;90,01;114738,2
2010-01-28 16:00:00;90,01;90,23;89,625;89,725;141390,58
