Time (CAT);Open;High;Low;Close;Volume 
2009-12-31 00:00:00;92,42;93,14;91,91;93,02;227565,3
2010-01-01 00:00:00;92,979;93,052;92,972;92,995;416886,4
2010-01-04 00:00:00;92,967;93,21;92,185;92,495;566809,44
2010-01-05 00:00:00;92,49;92,545;91,24;91,69;603219,85
2010-01-06 00:00:00;91,695;92,74;91,52;92,31;615940,63
2010-01-07 00:00:00;92,305;93,4;92,1;93,365;560730,99
2010-01-08 00:00:00;93,36;93,765;92,28;92,65;566188,14
2010-01-11 00:00:00;92,58;92,66;91,81;92,075;566322,52
2010-01-12 00:00:00;92,07;92,425;90,72;90,97;598674,35
2010-01-13 00:00:00;90,965;91,56;90,9;91,365;681075,04
2010-01-14 00:00:00;91,36;92,04;90,84;91,2;542082,95
2010-01-15 00:00:00;91,195;91,315;90,6;90,75;635456,39
2010-01-18 00:00:00;90,745;91,06;90,62;90,78;357778,3
2010-01-19 00:00:00;90,775;91,26;90,315;91,135;618359,07
2010-01-20 00:00:00;91,13;91,46;90,79;91,21;640602,01
2010-01-21 00:00:00;91,22;91,87;90,11;90,42;664618,94
2010-01-22 00:00:00;90,425;90,565;89,78;89,81;672066,2
2010-01-25 00:00:00;90,255;90,335;89,81;90,27;490692,99
2010-01-26 00:00:00;90,265;90,55;89,335;89,635;580525
2010-01-27 00:00:00;89,645;90,08;89,135;89,995;536612,04
2010-01-28 00:00:00;89,995;90,55;89,625;89,905;551181,18
2010-01-29 00:00:00;89,9;90,92;89,585;90,26;498412,6
2010-02-01 00:00:00;89,875;90,945;89,85;90,605;387343,22
2010-02-02 00:00:00;90,6;90,91;90,265;90,385;450952,6
2010-02-03 00:00:00;90,37;91,275;90,075;90,975;516586,8
2010-02-04 00:00:00;90,975;91,075;88,55;89,025;443128,18
2010-02-05 00:00:00;89,01;89,885;88,815;89,22;497031,21
2010-02-08 00:00:00;89,485;89,56;89,14;89,25;461246,34
2010-02-09 00:00:00;89,245;89,805;89,145;89,675;531386,12
