Time (CAT);Open;High;Low;Close;Volume 
2009-12-28 00:00:00;91,405;93,14;91,382;93;1350096,2
2010-01-04 00:00:00;92,967;93,765;91,24;91,82;3044124,5
2010-01-11 00:00:00;92,58;92,66;90,6;90,65;3120698,6
2010-01-18 00:00:00;90,745;91,87;89,7;89,81;3042511,8
2010-01-25 00:00:00;90,255;90,92;89,135;90,03;2731593,75
2010-02-01 00:00:00;89,875;91,275;88,55;89,19;2250160,3
2010-02-08 00:00:00;89,485;90,42;89,14;89,93;2301639,2
2010-02-15 00:00:00;90,12;92,145;89,71;91,25;1887203,2
2010-02-22 00:00:00;91,43;91,9;88,74;88,77;1879467,5
2010-03-01 00:00:00;88,845;90,585;88,135;89,93;1739133,61
2010-03-08 00:00:00;90,445;91,085;89,63;90,48;2280260,42
2010-03-14 23:00:00;90,823;90,824;89,75;90,54;2233378
2010-03-21 23:00:00;90,491;92,95;89,83;92,52;2036603,4
2010-03-28 23:00:00;92,44;94,69;92,12;94,6;2171906,71
2010-04-04 23:00:00;94,65;94,775;92,825;93,18;2095930,7
2010-04-11 23:00:00;92,93;93,725;91,895;92,16;2611390,2
2010-04-18 23:00:00;91,84;94,32;91,595;93,96;2609807,7
2010-04-25 23:00:00;93,998;94,58;92,81;93,81;2369880,24
2010-05-02 23:00:00;93,83;94,98;87,94;91,58;2468070,7
2010-05-09 23:00:00;92,42;93,635;91,718;92,5;2687292,52
2010-05-16 23:00:00;92,25;92,96;88,95;90;2445641,8
2010-05-23 23:00:00;90,295;91,405;89,255;91,05;2944426,8
2010-05-30 23:00:00;91,002;92,88;90,54;91,88;2006900,9
2010-06-06 23:00:00;91,745;92,08;90,835;91,64;2333416,7
2010-06-13 23:00:00;91,862;92,11;90,445;90,67;1759559,4
2010-06-20 23:00:00;90,29;91,475;89,1;89,23;1616147,8
2010-06-27 23:00:00;89,275;89,465;86,965;87,74;1691123,9
2010-07-04 23:00:00;87,695;88,7;87,015;88,57;1754563,34
2010-07-11 23:00:00;88,725;89,15;86,265;86,56;2088216,1
2010-07-18 23:00:00;86,518;87,565;86,335;87,41;1807546,3
2010-07-25 23:00:00;87,452;88,115;85,945;86,46;1980485,8
2010-08-01 23:00:00;86,316;86,88;85,02;85,5;1861083,1
2010-08-08 23:00:00;85,375;86,37;84,725;86,18;2199137,5
2010-08-15 23:00:00;86,175;86,235;84,885;85,56;1851177,4
2010-08-22 23:00:00;85,559;85,7;83,59;85,21;1892972,4
2010-08-29 23:00:00;85,338;85,9;83,67;84,33;1706652,63
2010-09-05 23:00:00;84,165;84,49;83,34;84,16;1959284,5
2010-09-12 23:00:00;84,214;85,93;82,875;85,84;1952096,3
2010-09-19 23:00:00;85,725;85,8;84,11;84,2;1563325,8
2010-09-26 23:00:00;84,25;84,39;83,16;83,3;1760654,4
2010-10-03 23:00:00;83,26;83,985;81,725;81,91;1524812,3
2010-10-10 23:00:00;81,955;82,355;80,875;81,44;1429040,7
2010-10-17 23:00:00;81,363;81,92;80,84;81,37;1420497,2
2010-10-24 23:00:00;81,247;81,98;80,3;80,31;623711,7
2010-10-31 23:00:00;80,287;81,576;80,238;81,26;513954,9
2010-11-08 00:00:00;81,24;82,794;80,533;82,48;514706,4
2010-11-15 00:00:00;82,469;83,78;82,393;83,53;260720,5
2010-11-22 00:00:00;83,504;84,182;82,778;84,09;204095,9
2010-11-29 00:00:00;84,056;84,398;82,45;82,53;412699
2010-12-06 00:00:00;82,622;84,298;82,337;83,95;429675,4
2010-12-13 00:00:00;83,983;84,509;82,832;83,97;460360,1
2010-12-20 00:00:00;83,904;84,118;82,84;82,86;322688,8387
2010-12-27 00:00:00;82,753;82,975;80,936;81,12;316294,8838
2011-01-03 00:00:00;81,216;83,674;80,916;83,06;446340,03
2011-01-10 00:00:00;83,194;83,487;82,406;82,86;483123,36
2011-01-17 00:00:00;82,773;83,121;81,848;82,56;557729,46
2011-01-24 00:00:00;82,542;83,21;81,977;82;581451,72
2011-01-31 00:00:00;81,979;82,461;81,104;82,11;663418,84
2011-02-07 00:00:00;82,141;83,667;81,769;83,421;628001,93
2011-02-14 00:00:00;83,482;83,968;83,029;83,16;616754,08
2011-02-21 00:00:00;83,06;83,525;81,619;81,665;606366,11
2011-02-28 00:00:00;81,668;83,065;81,566;82,28;525392,93
2011-03-07 00:00:00;82,31;83,292;81,652;81,84;769374,76
2011-03-13 23:00:00;81,638;82,448;76,259;80,588;1146978,49
2011-03-20 23:00:00;80,857;81,488;80,7;81,345;652719,8
2011-03-27 23:00:00;81,378;84,728;81,295;84,06;780071,8
2011-04-03 23:00:00;84,17;85,519;83,851;84,756;664349,94
2011-04-10 23:00:00;84,844;85,152;82,95;83,12;705465,85
2011-04-17 23:00:00;83,213;83,256;81,62;81,83;772833,2
2011-04-24 23:00:00;81,808;82,785;81,04;81,21;687109,64
2011-05-01 23:00:00;81,091;81,687;79,563;80,614;729306,54
2011-05-08 23:00:00;80,618;81,335;80,156;80,79;882392,26
2011-05-15 23:00:00;80,855;82,227;80,628;81,689;732206,97
2011-05-22 23:00:00;81,771;82,208;80,698;80,784;724910,21
2011-05-29 23:00:00;80,735;81,769;80,049;80,26;643346,79
2011-06-05 23:00:00;80,207;80,46;79,694;80,3;621947,06
2011-06-12 23:00:00;80,311;81,055;79,99;80,05;648783,91
2011-06-19 23:00:00;80,124;80,79;80,011;80,43;503123,05
2011-06-26 23:00:00;80,326;81,264;80,26;80,81;577915,29
2011-07-03 23:00:00;80,793;81,47;80,498;80,66;430335,1
2011-07-10 23:00:00;80,534;80,826;78,452;79,14;553487,14
2011-07-17 23:00:00;79,083;79,315;78,213;78,54;451948,67
2011-07-24 23:00:00;78,242;78,686;76,713;76,77;486151,98
2011-07-31 23:00:00;77,134;80,232;76,292;78,394;783543,84
2011-08-07 23:00:00;77,962;78,46;76,305;76,67;768389,12
2011-08-14 23:00:00;76,815;77,09;75,95;76,5;483752,37
2011-08-21 23:00:00;76,753;77,69;76,463;76,654;456708,33
2011-08-28 23:00:00;76,747;77,235;76,421;76,79;382464,87
2011-09-04 23:00:00;76,891;77,852;76,688;77,591;457109,82
2011-09-11 23:00:00;77,454;77,582;76,556;76,762;484716,82
